IFBench300: 0 complete, 300 pending
complete=1/300 key=104 endpoint=http://127.0.0.1:9300 tokens=125 finish=stop attempts=1
complete=2/300 key=103 endpoint=http://127.0.0.1:9400 tokens=255 finish=stop attempts=1
complete=3/300 key=105 endpoint=http://127.0.0.1:9400 tokens=304 finish=stop attempts=1
complete=4/300 key=15 endpoint=http://127.0.0.1:9400 tokens=341 finish=stop attempts=1
complete=5/300 key=61 endpoint=http://127.0.0.1:9400 tokens=434 finish=stop attempts=1
complete=6/300 key=63 endpoint=http://127.0.0.1:9400 tokens=374 finish=stop attempts=1
complete=7/300 key=60 endpoint=http://127.0.0.1:9300 tokens=412 finish=stop attempts=1
complete=8/300 key=33 endpoint=http://127.0.0.1:9400 tokens=550 finish=stop attempts=1
complete=9/300 key=101 endpoint=http://127.0.0.1:9400 tokens=571 finish=stop attempts=1
complete=10/300 key=65 endpoint=http://127.0.0.1:9400 tokens=655 finish=stop attempts=1
complete=11/300 key=62 endpoint=http://127.0.0.1:9300 tokens=717 finish=stop attempts=1
complete=12/300 key=55 endpoint=http://127.0.0.1:9400 tokens=575 finish=stop attempts=1
complete=13/300 key=110 endpoint=http://127.0.0.1:9300 tokens=493 finish=stop attempts=1
complete=14/300 key=78 endpoint=http://127.0.0.1:9300 tokens=509 finish=stop attempts=1
complete=15/300 key=131 endpoint=http://127.0.0.1:9400 tokens=311 finish=stop attempts=1
complete=16/300 key=107 endpoint=http://127.0.0.1:9400 tokens=508 finish=stop attempts=1
complete=17/300 key=66 endpoint=http://127.0.0.1:9300 tokens=747 finish=stop attempts=1
complete=18/300 key=72 endpoint=http://127.0.0.1:9300 tokens=676 finish=stop attempts=1
complete=19/300 key=83 endpoint=http://127.0.0.1:9400 tokens=718 finish=stop attempts=1
complete=20/300 key=8 endpoint=http://127.0.0.1:9300 tokens=665 finish=stop attempts=1
complete=21/300 key=16 endpoint=http://127.0.0.1:9300 tokens=845 finish=stop attempts=1
complete=22/300 key=109 endpoint=http://127.0.0.1:9400 tokens=799 finish=stop attempts=1
complete=23/300 key=102 endpoint=http://127.0.0.1:9300 tokens=909 finish=stop attempts=1
complete=24/300 key=94 endpoint=http://127.0.0.1:9300 tokens=1028 finish=stop attempts=1
complete=25/300 key=98 endpoint=http://127.0.0.1:9300 tokens=982 finish=stop attempts=1
complete=26/300 key=64 endpoint=http://127.0.0.1:9300 tokens=933 finish=stop attempts=1
complete=27/300 key=100 endpoint=http://127.0.0.1:9300 tokens=886 finish=stop attempts=1
complete=28/300 key=45 endpoint=http://127.0.0.1:9400 tokens=1242 finish=stop attempts=1
complete=29/300 key=20 endpoint=http://127.0.0.1:9300 tokens=1167 finish=stop attempts=1
complete=30/300 key=97 endpoint=http://127.0.0.1:9400 tokens=1250 finish=stop attempts=1
complete=31/300 key=25 endpoint=http://127.0.0.1:9400 tokens=1304 finish=stop attempts=1
complete=32/300 key=95 endpoint=http://127.0.0.1:9400 tokens=1498 finish=stop attempts=1
complete=33/300 key=70 endpoint=http://127.0.0.1:9300 tokens=1593 finish=stop attempts=1
complete=34/300 key=127 endpoint=http://127.0.0.1:9400 tokens=1381 finish=stop attempts=1
complete=35/300 key=118 endpoint=http://127.0.0.1:9300 tokens=1603 finish=stop attempts=1
complete=36/300 key=9 endpoint=http://127.0.0.1:9400 tokens=1649 finish=stop attempts=1
complete=37/300 key=18 endpoint=http://127.0.0.1:9300 tokens=1745 finish=stop attempts=1
complete=38/300 key=34 endpoint=http://127.0.0.1:9300 tokens=1437 finish=stop attempts=1
complete=39/300 key=68 endpoint=http://127.0.0.1:9300 tokens=1719 finish=stop attempts=1
complete=40/300 key=42 endpoint=http://127.0.0.1:9300 tokens=1920 finish=stop attempts=1
complete=41/300 key=14 endpoint=http://127.0.0.1:9300 tokens=1705 finish=stop attempts=1
complete=42/300 key=96 endpoint=http://127.0.0.1:9300 tokens=1938 finish=stop attempts=1
complete=43/300 key=28 endpoint=http://127.0.0.1:9300 tokens=1909 finish=stop attempts=1
complete=44/300 key=26 endpoint=http://127.0.0.1:9300 tokens=1347 finish=stop attempts=1
complete=45/300 key=163 endpoint=http://127.0.0.1:9400 tokens=504 finish=stop attempts=1
complete=46/300 key=12 endpoint=http://127.0.0.1:9300 tokens=2104 finish=stop attempts=1
complete=47/300 key=32 endpoint=http://127.0.0.1:9300 tokens=2144 finish=stop attempts=1
complete=48/300 key=128 endpoint=http://127.0.0.1:9300 tokens=2165 finish=stop attempts=1
complete=49/300 key=27 endpoint=http://127.0.0.1:9400 tokens=2007 finish=stop attempts=1
complete=50/300 key=155 endpoint=http://127.0.0.1:9400 tokens=872 finish=stop attempts=1
complete=51/300 key=111 endpoint=http://127.0.0.1:9400 tokens=2273 finish=stop attempts=1
complete=52/300 key=93 endpoint=http://127.0.0.1:9400 tokens=2378 finish=stop attempts=1
complete=53/300 key=157 endpoint=http://127.0.0.1:9400 tokens=1120 finish=stop attempts=1
complete=54/300 key=7 endpoint=http://127.0.0.1:9400 tokens=1912 finish=stop attempts=1
complete=55/300 key=116 endpoint=http://127.0.0.1:9300 tokens=2467 finish=stop attempts=1
complete=56/300 key=6 endpoint=http://127.0.0.1:9300 tokens=2325 finish=stop attempts=1
complete=57/300 key=10 endpoint=http://127.0.0.1:9300 tokens=2664 finish=stop attempts=1
complete=58/300 key=129 endpoint=http://127.0.0.1:9400 tokens=2496 finish=stop attempts=1
complete=59/300 key=132 endpoint=http://127.0.0.1:9300 tokens=1546 finish=stop attempts=1
complete=60/300 key=1 endpoint=http://127.0.0.1:9400 tokens=2505 finish=stop attempts=1
complete=61/300 key=130 endpoint=http://127.0.0.1:9300 tokens=2368 finish=stop attempts=1
complete=62/300 key=126 endpoint=http://127.0.0.1:9300 tokens=2475 finish=stop attempts=1
complete=63/300 key=154 endpoint=http://127.0.0.1:9300 tokens=1565 finish=stop attempts=1
complete=64/300 key=0 endpoint=http://127.0.0.1:9300 tokens=2686 finish=stop attempts=1
complete=65/300 key=106 endpoint=http://127.0.0.1:9300 tokens=2998 finish=stop attempts=1
complete=66/300 key=156 endpoint=http://127.0.0.1:9300 tokens=1896 finish=stop attempts=1
